,importance
nhnbr_area_new_house_available_for_sale_nearby_sectors_diff1,1455563420.5
search_gong_ji_jin_yi_dong_all_lag12,1444694716.5
nh_area_per_unit_new_house_transactions_lag2,1444258710.5
search_an_zhi_yi_dong_all_lag3,1415287262.0
search_xian_gou_pc_all,1404266793.0
search_fang_jia_xia_die_pc_all_lag6,1385125141.5
nh_total_price_per_unit_new_house_transactions_diff3,1379891351.5
land_planned_building_area_diff12,1348902446.5
ponbr_amount_pre_owned_house_transactions_nearby_sectors_ewm_alpha0.5,1338018503.0
search_li_lv_shang_diao_pc_all_lag2,1337877014.0
land_num_land_transactions_ewm_alpha0.5,1334414150.0
po_amount_pre_owned_house_transactions_lag6,1322770622.5
search_peng_hu_qu_pc_all_pctchg3,1320945800.0
search_fang_jia_yi_dong_all_lag12,1292766529.0
search_fang_wu_zhuang_xiu_pc_all_lag2,1289996465.5
ponbr_amount_pre_owned_house_transactions_nearby_sectors_lag12,1288077759.0
po_num_pre_owned_house_transactions_pctchg3,1283706442.5
search_fang_jia_shang_zhang_pc_all_lag2,1283522041.0
nhnbr_area_per_unit_new_house_transactions_nearby_sectors_lag1,1246724974.5
nh_area_new_house_available_for_sale_pctchg12,1245007232.5
po_num_pre_owned_house_transactions_diff3,1243829404.5
po_price_pre_owned_house_transactions_pctchg1,1238817833.5
nh_period_new_house_sell_through_pctchg12,1228426686.0
search_fang_jia_xia_die_pc_all_lag12,1223857586.0
search_qu_ku_cun_pc_all_diff3,1220011051.0
search_fang_di_chan_kai_fa_yi_dong_all_lag12,1200681036.0
search_qu_ku_cun_yi_dong_all_diff3,1194406022.0
macro_education_expenditure_10k_yoy_pctchg3,1191542240.0
ponbr_area_pre_owned_house_transactions_nearby_sectors_lag6,1187620346.5
poi_pca_component_3,1162348802.0
ponbr_amount_pre_owned_house_transactions_nearby_sectors_diff12,1157774587.0
search_an_zhi_yi_dong_all_lag12,1156524333.0
search_fang_jia_shang_zhang_pc_all_diff1,1149009647.5
nhnbr_amount_new_house_transactions_nearby_sectors_diff3,1125122121.5
